,G6_pair
0,MHEG?K??G@OG?B?O?-MRC?OM???@_G?A?O_
1,MHEG?K??G@OG?B?O?-MRCG?M???@_G?B?O?
2,MHEG?K??G@OG?B?O?-MYCO?M??G?_H?A?O?
3,MIEG?K??G?oG?B?O?-MRC?OM???@_G?A?O_
4,MIEG?K??G?oG?B?O?-MRCG?M???@_G?B?O?
5,MIEG?K??G?oG?B?O?-MYCO?M??G?_H?A?O?
6,MQE?WI????oG?A?@_-MQEOOE????o@?A?O_
7,MQE?WI????oG?A?@_-MRE?OE???@o??A?O_
