G6,density,degree_heterogeneity,diameter,meshedness,entrance_degree,entrance_centrality,clustering,modularity
M[E?OE??K?O??A?O_,0.15384615384615385,1.4285714285714286,6,0.043478260869565216,6,0.7628205128205128,0.0,0.4209183673469387
M[E??M??K?OG?A?O?,0.15384615384615385,1.8571428571428572,5,0.043478260869565216,6,0.8269230769230769,0.0,0.37244897959183676
M[E?OI??K?OG?A??_,0.15384615384615385,1.4285714285714286,6,0.043478260869565216,6,0.8653846153846153,0.0,0.44387755102040816
M[AGOE??K?O??@?O_,0.15384615384615385,1.4285714285714286,6,0.043478260869565216,6,0.7628205128205128,0.0,0.4005102040816326
M[E?GI??K?OG?A?@?,0.15384615384615385,1.7142857142857142,4,0.043478260869565216,6,0.8461538461538461,0.0,0.3801020408163265
M[AGGE??K?O??@?P?,0.15384615384615385,1.7142857142857142,5,0.043478260869565216,6,0.782051282051282,0.0,0.4005102040816326
M[E?GE??K?O??A?P?,0.15384615384615385,1.4285714285714286,5,0.043478260869565216,6,0.8461538461538461,0.0,0.3801020408163265
M[AGOI??K?OG?@??_,0.15384615384615385,1.7142857142857142,6,0.043478260869565216,6,0.7628205128205128,0.0,0.4209183673469387
M[AG?M??K?OG?@?O?,0.15384615384615385,2.142857142857143,5,0.043478260869565216,6,0.7307692307692307,0.0,0.4005102040816326
M[A?WI??K?OG???@_,0.15384615384615385,1.7142857142857142,6,0.043478260869565216,6,0.7628205128205128,0.0,0.4209183673469387
MUE?OI??C?oG?A??_,0.15384615384615385,1.7142857142857142,6,0.043478260869565216,6,0.8141025641025641,0.0,0.4821428571428571
MUE?OE??C?o??A?O_,0.15384615384615385,1.7142857142857142,5,0.043478260869565216,6,0.673076923076923,0.0,0.44897959183673464
M[A?OM??K?OG???O_,0.15384615384615385,1.8571428571428572,6,0.043478260869565216,6,0.7115384615384616,0.0,0.3826530612244898
M[A?WE??K?O????P_,0.15384615384615385,1.7142857142857142,5,0.043478260869565216,6,0.7435897435897436,0.0,0.42091836734693877
M[AGGI??K?OG?@?@?,0.15384615384615385,2.2857142857142856,4,0.043478260869565216,6,0.7628205128205128,0.0,0.4209183673469387
MUE?GI??C?oG?A?@?,0.15384615384615385,2.0,4,0.043478260869565216,6,0.8205128205128205,0.0,0.4413265306122448
MUE??M??C?oG?A?O?,0.15384615384615385,2.142857142857143,5,0.043478260869565216,6,0.8012820512820512,0.0,0.4413265306122448
MUE?GE??C?o??A?P?,0.15384615384615385,1.7142857142857142,5,0.043478260869565216,6,0.8205128205128205,0.0,0.4413265306122448
MUAGOI??C?oG?@??_,0.15384615384615385,1.7142857142857142,6,0.043478260869565216,6,0.7628205128205128,0.0,0.4209183673469387
MUAGOE??C?o??@?O_,0.15384615384615385,1.4285714285714286,6,0.043478260869565216,6,0.7628205128205128,0.0,0.4005102040816326
MUAGGI??C?oG?@?@?,0.15384615384615385,2.2857142857142856,4,0.043478260869565216,6,0.7628205128205128,0.0,0.42091836734693877
MUAGGE??C?o??@?P?,0.15384615384615385,1.7142857142857142,5,0.043478260869565216,6,0.782051282051282,0.0,0.4005102040816326
MUA?WI??C?oG???@_,0.15384615384615385,1.7142857142857142,6,0.043478260869565216,6,0.7628205128205128,0.0,0.4209183673469387
MUAG?M??C?oG?@?O?,0.15384615384615385,2.142857142857143,5,0.043478260869565216,6,0.7307692307692307,0.0,0.4005102040816326
M[COOE??K??@?A?O_,0.15384615384615385,0.7142857142857143,6,0.043478260869565216,4,0.6474358974358975,0.0,0.44897959183673464
M[COGE??K??@?A?P?,0.15384615384615385,0.7142857142857143,6,0.043478260869565216,4,0.6474358974358975,0.0,0.44897959183673464
M[COGI??K??H?A?@?,0.15384615384615385,1.0,5,0.043478260869565216,4,0.6153846153846154,0.0,0.44897959183673464
MUA?WE??C?o????P_,0.15384615384615385,1.7142857142857142,5,0.043478260869565216,6,0.7435897435897436,0.0,0.4209183673469387
MUA?OM??C?oG???O_,0.15384615384615385,1.8571428571428572,6,0.043478260869565216,6,0.7115384615384616,0.0,0.38265306122448983
M[CO?M??K??H?A?O?,0.15384615384615385,1.1428571428571428,6,0.043478260869565216,4,0.5897435897435898,0.0,0.44897959183673464
M[CGOI??K??G?B??_,0.15384615384615385,0.7142857142857143,6,0.043478260869565216,4,0.6153846153846154,0.0,0.42857142857142855
M[COOI??K??H?A??_,0.15384615384615385,0.7142857142857143,6,0.043478260869565216,4,0.6666666666666666,0.0,0.44897959183673464
M[CG?M??K??G?B?O?,0.15384615384615385,0.8571428571428571,7,0.043478260869565216,4,0.5705128205128205,0.0,0.42857142857142855
M[CGGE??K????B?P?,0.15384615384615385,0.42857142857142855,7,0.043478260869565216,4,0.6153846153846154,0.0,0.42857142857142855
M[C?WI??K??G?A?@_,0.15384615384615385,0.42857142857142855,7,0.043478260869565216,4,0.6153846153846154,0.0,0.43877551020408156
M[C?WE??K????A?P_,0.15384615384615385,0.7142857142857143,6,0.043478260869565216,4,0.5833333333333333,0.0,0.44897959183673464
M[CGGI??K??G?B?@?,0.15384615384615385,0.7142857142857143,6,0.043478260869565216,4,0.5833333333333333,0.0,0.44897959183673464
M[?WOI??K??H?@??_,0.15384615384615385,0.7142857142857143,6,0.043478260869565216,4,0.5641025641025641,0.0,0.4387755102040816
M[CGOE??K????B?O_,0.15384615384615385,0.7142857142857143,6,0.043478260869565216,4,0.6153846153846154,0.0,0.42857142857142855
M[?WGI??K??H?@?@?,0.15384615384615385,1.2857142857142858,5,0.043478260869565216,4,0.5641025641025641,0.0,0.4209183673469387
M[?W?M??K??H?@?O?,0.15384615384615385,1.1428571428571428,6,0.043478260869565216,4,0.5512820512820512,0.0,0.42857142857142855
M[?OWI??K??H???@_,0.15384615384615385,0.7142857142857143,6,0.043478260869565216,4,0.5641025641025641,0.0,0.4387755102040816
M[?OWE??K??@???P_,0.15384615384615385,0.7142857142857143,6,0.043478260869565216,4,0.5833333333333333,0.0,0.44897959183673464
M[?WGE??K??@?@?P?,0.15384615384615385,0.7142857142857143,6,0.043478260869565216,4,0.6153846153846154,0.0,0.42857142857142855
M[?WOE??K??@?@?O_,0.15384615384615385,0.42857142857142855,7,0.043478260869565216,4,0.6153846153846154,0.0,0.4387755102040816
M[?OOM??K??H???O_,0.15384615384615385,0.8571428571428571,7,0.043478260869565216,4,0.5384615384615384,0.0,0.39795918367346944
M[C?OM??K??G?A?O_,0.15384615384615385,0.8571428571428571,7,0.043478260869565216,4,0.5705128205128205,0.0,0.42857142857142855
MUCOOI??C?_H?A??_,0.15384615384615385,1.2857142857142858,6,0.043478260869565216,4,0.5512820512820512,0.0,0.4591836734693877
MUCOOE??C?_@?A?O_,0.15384615384615385,1.2857142857142858,5,0.043478260869565216,4,0.532051282051282,0.0,0.44897959183673464
MUCGOI??C?_G?B??_,0.15384615384615385,1.0,6,0.043478260869565216,4,0.5,0.0,0.44897959183673464
MUCOGI??C?_H?A?@?,0.15384615384615385,1.5714285714285714,5,0.043478260869565216,4,0.48717948717948717,0.0,0.4489795918367347
MUCO?M??C?_H?A?O?,0.15384615384615385,1.7142857142857142,5,0.043478260869565216,4,0.4487179487179487,0.0,0.4591836734693877
MUCOGE??C?_@?A?P?,0.15384615384615385,1.2857142857142858,5,0.043478260869565216,4,0.532051282051282,0.0,0.44897959183673464
MUCGGI??C?_G?B?@?,0.15384615384615385,1.0,6,0.043478260869565216,4,0.4551282051282051,0.0,0.4489795918367347
MUCGGE??C?_??B?P?,0.15384615384615385,0.7142857142857143,6,0.043478260869565216,4,0.5,0.0,0.4591836734693877
MUCG?M??C?_G?B?O?,0.15384615384615385,1.1428571428571428,6,0.043478260869565216,4,0.42948717948717946,0.0,0.44897959183673464
MUC?WI??C?_G?A?@_,0.15384615384615385,0.7142857142857143,6,0.043478260869565216,4,0.5,0.0,0.4489795918367347
MUC?WE??C?_??A?P_,0.15384615384615385,1.0,6,0.043478260869565216,4,0.4551282051282051,0.0,0.4489795918367347
MUC?OM??C?_G?A?O_,0.15384615384615385,1.1428571428571428,6,0.043478260869565216,4,0.42948717948717946,0.0,0.4591836734693877
MU?WOI??C?_H?@??_,0.15384615384615385,1.0,6,0.043478260869565216,4,0.4230769230769231,0.0,0.42857142857142855
MUCGOE??C?_??B?O_,0.15384615384615385,1.0,6,0.043478260869565216,4,0.5,0.0,0.44897959183673464
MU?WGI??C?_H?@?@?,0.15384615384615385,1.5714285714285714,5,0.043478260869565216,4,0.4230769230769231,0.0,0.44897959183673464
MU?WOE??C?_@?@?O_,0.15384615384615385,0.7142857142857143,6,0.043478260869565216,4,0.5,0.0,0.44897959183673464
MU?W?M??C?_H?@?O?,0.15384615384615385,1.4285714285714286,5,0.043478260869565216,4,0.3974358974358974,0.0,0.4591836734693877
MU?OWI??C?_H???@_,0.15384615384615385,1.0,6,0.043478260869565216,4,0.4230769230769231,0.0,0.44897959183673464
MU?OOM??C?_H???O_,0.15384615384615385,1.1428571428571428,6,0.043478260869565216,4,0.3717948717948718,0.0,0.42857142857142855
MU?WGE??C?_@?@?P?,0.15384615384615385,1.0,6,0.043478260869565216,4,0.5,0.0,0.4591836734693877
MYE?OI??G?oG?A??_,0.15384615384615385,0.42857142857142855,10,0.043478260869565216,4,0.7115384615384616,0.0,0.5229591836734693
MYE?GI??G?oG?A?@?,0.15384615384615385,0.7142857142857143,8,0.043478260869565216,4,0.7435897435897436,0.0,0.4464285714285714
MYE?OE??G?o??A?O_,0.15384615384615385,0.42857142857142855,7,0.043478260869565216,4,0.4551282051282051,0.0,0.44897959183673464
MYE?GE??G?o??A?P?,0.15384615384615385,0.42857142857142855,8,0.043478260869565216,4,0.7435897435897436,0.0,0.4821428571428571
MYE??M??G?oG?A?O?,0.15384615384615385,0.8571428571428571,8,0.043478260869565216,4,0.7243589743589743,0.0,0.4821428571428571
MU?OWE??C?_@???P_,0.15384615384615385,1.0,6,0.043478260869565216,4,0.4551282051282051,0.0,0.44897959183673464
MYAGOI??G?oG?@??_,0.15384615384615385,0.7142857142857143,6,0.043478260869565216,4,0.7115384615384616,0.0,0.45153061224489793
MYAGOE??G?o??@?O_,0.15384615384615385,0.42857142857142855,7,0.043478260869565216,4,0.7115384615384616,0.0,0.4413265306122448
MYA?WE??G?o????P_,0.15384615384615385,0.7142857142857143,6,0.043478260869565216,4,0.6923076923076923,0.0,0.44132653061224486
