,max,min
density,0.2967032967032967,0.1538461538461538
degree_heterogeneity,4.0,0.0
diameter,12.0,4.0
meshedness,0.6086956521739131,0.0434782608695652
entrance_degree,6.0,2.0
entrance_centrality,0.8653846153846153,0.0
clustering,0.7904761904761906,0.0
modularity,0.5484429065743945,0.263157894736842
