,rep,exp,start,time_win,h,max_gap,GC,ants,cMOD_communities,cmpMOD_communities,c3pMOD_communities,cMODres09_communities,MOD,cMOD,c3pMOD,cmpMOD,DEN,wDEN,DIA,wDIA,RAD,wRAD,DEH,cDEH,wDEH,cwDEH,CLS
3858,48,MODa,2021-12-08 09:00:00,21600,9,10,157,162,"[37, 62, 31, 27]","[60, 48, 48, 1]","[60, 49, 48]","[48, 43, 66]",0.17079847534668813,0.17058175364548758,0.17321789153536016,0.1732145365237518,0.6917414308718657,0.0004178239853226434,3,2.076220847046984,2,1.046031746031746,41.9379154431247,37.51279387419226,737.2187888274508,701.0139832052395,0.05278155383388126
3914,48,MODb,2021-12-06 09:00:00,21600,9,10,160,171,"[33, 26, 36, 26, 39]","[56, 50, 39, 15]","[71, 50, 39]","[29, 37, 94]",0.18094106094807755,0.18185083099159102,0.17354795430742898,0.17802462122973767,0.6676986584107327,0.0003863216501675394,3,2.0707196029776673,2,1.0384615384615385,43.46018792813894,32.74068331220349,721.0759011246953,638.6207912368654,0.03425510403371371
3859,48,MODa,2021-12-08 15:00:00,21600,15,10,157,162,"[7, 81, 21, 20, 28]","[81, 56, 19, 1]","[82, 56, 19]","[90, 67]",0.12850501433666828,0.1319790774654277,0.13409788583362772,0.1340935630800891,0.7188099072157044,0.0004045858219234494,3,2.147619047619048,2,1.0833333333333333,40.177388255756526,35.00737767301686,717.5706098318811,682.8272598080625,0.04105595698102589
3915,48,MODb,2021-12-06 15:00:00,21600,15,10,165,171,"[45, 18, 35, 67]","[69, 48, 47, 1]","[69, 49, 47]","[66, 46, 35, 18]",0.1888515390551911,0.1875825222866853,0.17868606714450216,0.17868392000405797,0.6931544547643619,0.0003920453821554613,3,2.0606837606837605,2,1.0384615384615385,40.547814184183565,34.3602638503271,737.5118329709028,696.8511922969591,0.04235854657366016
3970,49,MODa,2021-12-10 09:00:00,21600,9,10,166,169,"[75, 45, 17, 29]","[64, 57, 44, 1]","[64, 57, 45]","[47, 119]",0.10703963362645691,0.10199222362378446,0.10583128231438013,0.10583074104185358,0.7172442941673711,0.0003747697577825783,3,2.073497910135841,2,1.0416666666666667,43.16503684057258,40.37015730478258,777.7852861826725,762.7935232192106,0.07070515961496887
4026,49,MODb,2021-12-12 09:00:00,21600,9,10,155,162,"[43, 30, 31, 13, 38]","[53, 41, 34, 27]","[68, 53, 34]","[66, 30, 59]",0.1259284442340551,0.12358166831306283,0.11571179861731379,0.11806572940306494,0.6468829077524729,0.00030754855768274985,4,2.119298245614035,2,1.0666666666666667,43.84276369789444,38.69129993870625,680.8373672561896,656.1102859630491,0.05329038148597644
3971,49,MODa,2021-12-10 15:00:00,21600,15,10,161,169,"[11, 31, 43, 58, 18]","[50, 38, 37, 36]","[88, 37, 36]","[34, 15, 16, 96]",0.11346203954588073,0.11371529196415905,0.09804369702368967,0.10402119314450453,0.6864609749225133,0.0003734228734228734,3,2.0357142857142856,2,1.0277777777777777,44.24535549400884,36.89472154123175,784.1816900928784,741.4322925077435,0.06521716127788857
4027,49,MODb,2021-12-12 15:00:00,21600,15,10,155,162,"[24, 36, 33, 43, 19]","[48, 43, 38, 26]","[64, 48, 43]","[63, 29, 13, 50]",0.1422657157424226,0.14426777254390424,0.12693412136040186,0.13817140993420482,0.6253354804079442,0.0002900538756684758,3,2.067193675889328,2,1.0416666666666667,42.05517456468959,37.0144781415539,649.1772692896396,626.4492188253645,0.04846737622653753
4530,54,MODa,2021-12-20 09:00:00,21600,9,10,158,158,"[29, 22, 19, 37, 17, 23, 11]","[52, 46, 34, 26]","[60, 52, 46]","[30, 91, 37]",0.08290254301910469,0.0797810654304492,0.07892342264493209,0.08244830645746391,0.8549544465048778,0.00041004864414523367,3,1.5227272727272727,2,1.0,25.2405888550382,25.2405888550382,637.6481261881643,637.6481261881643,0.06321921568708759
4586,54,MODb,2021-12-18 09:00:00,21600,9,10,162,162,"[30, 47, 66, 19]","[58, 45, 37, 22]","[59, 58, 45]","[86, 42, 34]",0.12909522230970424,0.12909522230970424,0.11439614189094587,0.12460756909476099,0.7948010121923166,0.0003771900303032885,3,2.0666666666666664,2,1.0425901781833986,31.473070771906624,31.473070771906624,625.6873303986822,625.6873303986822,0.05040574691357018
4531,54,MODa,2021-12-20 15:00:00,21600,15,10,155,158,"[33, 25, 43, 34, 20]","[49, 39, 37, 30]","[76, 49, 30]","[41, 39, 75]",0.09759723250521232,0.09564837748891318,0.09695612159707956,0.10008437718737101,0.7451423042812223,0.0003680747788020222,3,2.1127450980392153,2,1.0833333333333333,35.82340429754646,32.2201286612411,649.7660371706165,632.1614855795599,0.06743006664949114
4587,54,MODb,2021-12-18 15:00:00,21600,15,10,160,162,"[16, 27, 27, 25, 22, 43]","[55, 46, 38, 21]","[59, 55, 46]","[40, 78, 42]",0.11357081259430654,0.11365498436594539,0.10907313301549415,0.11366431341083683,0.7528563760447818,0.0003740553297719159,4,2.1140589569160997,2,1.0714285714285714,33.98300811766815,31.35820267489832,699.3572377214387,688.3301674160447,0.06662214596468422
