,rep,exp,start,time_win,h,nest_focus,max_gap,GC,ants,cMOD_communities,cmpMOD_communities,c3pMOD_communities,cMODres09_communities,MOD,cMOD,c3pMOD,cmpMOD,DEN,wDEN,DIA,wDIA,RAD,wRAD,DEH,cDEH,wDEH,cwDEH,CLS
1627,31,DEHa,2021-10-27 06:00:00,10800,6,False,10,172,172,"[42, 39, 37, 33, 21]","[42, 39, 37, 33, 21]","[76, 63, 33]","[78, 55, 39]",0.1986526019342069,0.1986526019342069,0.17819397585504224,0.1986526019342069,0.7173262613899088,0.0004077700711727639,2,0.21424466338259443,2,0.14757799671592775,27.833646388530802,27.833646388530802,231.36080202553632,231.36080202553632,0.04360009812849044
1671,31,DEHb,2021-10-25 06:00:00,10800,6,False,10,168,168,"[51, 41, 28, 27, 21]","[51, 41, 28, 27, 21]","[72, 55, 41]","[75, 53, 40]",0.23253256238989153,0.23253256238989153,0.2242663261444546,0.23253256238989153,0.72027373823781,0.0004316895309909282,2,0.21405631013016413,1,0.1372850678733032,24.564333139432748,24.564333139432748,237.23108179115243,237.23108179115243,0.05131626113633938
1885,34,DEHa,2021-11-14 03:00:00,10800,3,False,10,170,170,"[63, 54, 53]","[63, 54, 51, 1, 1]","[63, 54, 53]","[111, 59]",0.21805552284670773,0.21805552284670773,0.21805552284670773,0.21774233326002068,0.7803689523146536,0.0005139614031016746,2,0.19187062937062938,1,0.11688311688311688,24.31673921866116,24.31673921866116,315.3253487605052,315.3253487605052,0.06031019745058441
1929,34,DEHb,2021-11-16 03:00:00,10800,3,False,10,164,165,"[77, 61, 26]","[77, 60, 25, 1, 1]","[77, 61, 26]","[98, 66]",0.16417278703466043,0.16417278703466043,0.16417278703466043,0.16390094279888862,0.8101995565410199,0.0005046877994032466,2,0.26641414141414144,1,0.14824016563146997,23.670506808304367,21.340090548177205,342.4090805975591,336.2392575834559,0.07209161834704687
1891,34,DEHa,2021-11-14 06:00:00,10800,6,False,10,170,170,"[52, 49, 45, 24]","[52, 49, 45, 23, 1]","[69, 52, 49]","[82, 47, 27, 14]",0.22010160758185485,0.22010160758185485,0.21366353332657656,0.2198833516463617,0.7372084928646014,0.00047609286975802814,2,0.18799019607843137,1,0.11023187338976813,27.53918881185909,27.53918881185909,290.71916697810434,290.71916697810434,0.04167260511620941
1935,34,DEHb,2021-11-16 06:00:00,10800,6,False,10,165,165,"[74, 58, 33]","[74, 58, 31, 1, 1]","[74, 58, 33]","[104, 61]",0.18749835294421652,0.18749835294421652,0.18749835294421652,0.18686287868623702,0.747080561714708,0.00044360953710547205,2,0.2528879892037787,1,0.14610983981693365,26.41087651954706,26.41087651954706,316.67533489658473,316.67533489658473,0.0344313341568881
2231,38,DEHa,2021-11-23 00:00:00,10800,0,False,10,171,171,"[94, 74, 3]","[93, 73, 3, 1, 1]","[94, 74, 3]","[98, 73]",0.23668122234237424,0.23668122234237424,0.23668122234237424,0.23635903040140224,0.7693842449260406,0.0004971779485023379,2,0.23055555555555557,1,0.1301282051282051,24.13653127223574,24.13653127223574,337.7621691733113,337.7621691733113,0.06080024397792382
2275,38,DEHb,2021-11-21 00:00:00,10800,0,False,10,178,178,"[69, 64, 37, 8]","[69, 64, 36, 8, 1]","[69, 64, 45]","[110, 68]",0.2375294997464863,0.2375294997464863,0.23685711530727405,0.23730663327029256,0.7651241033453945,0.0004891778403173058,2,0.21978844169246647,1,0.14307359307359307,25.967519746942575,25.967519746942575,295.2320526355858,295.2320526355858,0.04937435051031909
2237,38,DEHa,2021-11-23 03:00:00,10800,3,False,10,171,171,"[97, 74]","[94, 74, 1, 1, 1]","[96, 74, 1]","[97, 74]",0.21394448613120143,0.21394448613120143,0.21369636154271815,0.21309215195076675,0.855796353629171,0.0005837505892545452,2,0.2588235294117647,1,0.13448275862068965,19.228802934202943,19.228802934202943,358.66561210367087,358.66561210367087,0.0654758785153885
2281,38,DEHb,2021-11-21 03:00:00,10800,3,False,10,178,178,"[93, 65, 20]","[93, 65, 16, 3, 1]","[93, 65, 20]","[111, 67]",0.20775538031351862,0.20775538031351862,0.20775538031351862,0.20729986135934908,0.7983876087094521,0.000512471463401445,2,0.21505901505901506,1,0.1380952380952381,23.11164670916793,23.11164670916793,293.45442565563167,293.45442565563167,0.05418942356411475
2243,38,DEHa,2021-11-23 06:00:00,10800,6,False,10,171,171,"[95, 76]","[93, 75, 1, 1, 1]","[94, 76, 1]","[95, 76]",0.2036452112967586,0.2036452112967586,0.20352054972136727,0.2031667946631005,0.8374269005847953,0.0005456688198346265,2,0.25122655122655124,1,0.14354066985645933,19.74064594057371,19.74064594057371,349.794442952389,349.794442952389,0.06843191633478178
2287,38,DEHb,2021-11-21 06:00:00,10800,6,False,10,178,178,"[102, 74, 2]","[101, 74, 1, 1, 1]","[102, 74, 2]","[108, 70]",0.20115858079170407,0.20115858079170407,0.20115858079170407,0.20096571829240253,0.8077826445756364,0.0005225577256301563,2,0.21768640566594533,1,0.125,23.434334518801652,23.434334518801652,326.5361870518516,326.5361870518516,0.0590779915053326
2225,38,DEHa,2021-11-22 21:00:00,10800,21,False,10,171,171,"[85, 75, 11]","[83, 75, 11, 1, 1]","[85, 75, 11]","[87, 73, 11]",0.21059185966518168,0.21059185966518168,0.21059185966518168,0.20998503572613406,0.8005503955968353,0.0005061027659926868,2,0.24954212454212454,1,0.1426698931236136,23.085463252672806,23.085463252672806,300.1068409775171,300.1068409775171,0.04298374401239758
2269,38,DEHb,2021-11-20 21:00:00,10800,21,False,10,178,178,"[73, 61, 44]","[73, 61, 30, 13, 1]","[73, 61, 44]","[101, 62, 15]",0.22699591682746392,0.22699591682746392,0.22699591682746392,0.2263265107709074,0.7308449184282358,0.0004661487171167867,2,0.2316849816849817,1,0.13846153846153847,28.133209290206203,28.133209290206203,294.90654167838744,294.90654167838744,0.046422788333202805
2935,47,DEHa,2021-12-08 00:00:00,10800,0,False,10,180,180,"[70, 60, 34, 16]","[70, 60, 33, 16, 1]","[86, 60, 34]","[102, 58, 20]",0.2637322694105097,0.2637322694105097,0.2600700437496048,0.26343152531998254,0.7151458721291124,0.0004951893234016139,2,0.24223137973137976,2,0.12973137973137971,28.92000247596595,28.92000247596595,297.65139751804367,297.65139751804367,0.040221041684519336
2979,47,DEHb,2021-12-06 00:00:00,10800,0,False,10,181,181,"[68, 60, 53]","[62, 60, 53, 5, 1]","[68, 60, 53]","[127, 54]",0.2836441824049236,0.2836441824049236,0.2836441824049236,0.283063750871826,0.6607734806629835,0.00046211036082122636,2,0.19058307284113735,2,0.12040133779264214,30.579154736096015,30.579154736096015,269.8529450406874,269.8529450406874,0.05358716768637563
2941,47,DEHa,2021-12-08 03:00:00,10800,3,False,10,180,180,"[98, 65, 17]","[98, 63, 17, 1, 1]","[98, 65, 17]","[115, 65]",0.2637211716849965,0.2637211716849965,0.2637211716849965,0.26320498305971174,0.7270639354438238,0.0004932753983033312,2,0.20416666666666666,1,0.1300144747725393,28.972424096452325,28.972424096452325,308.12366925563435,308.12366925563435,0.055758100795385575
2985,47,DEHb,2021-12-06 03:00:00,10800,3,False,10,181,181,"[57, 44, 40, 40]","[57, 44, 40, 28, 12]","[80, 57, 44]","[120, 45, 16]",0.2689088009537739,0.2689088009537739,0.25820671599524114,0.2688243460234596,0.6717618170656845,0.00045728463269899733,2,0.21437908496732028,1,0.12916666666666665,30.89706282470548,30.89706282470548,275.27584085707156,275.27584085707156,0.04600025962185336
2947,47,DEHa,2021-12-08 06:00:00,10800,6,False,10,180,180,"[97, 72, 8, 3]","[97, 71, 8, 3, 1]","[97, 72, 11]","[105, 72, 3]",0.31670820699504354,0.31670820699504354,0.31627481656159195,0.31647742009635627,0.6623215394165115,0.0004392199462031864,2,0.2171376564654609,2,0.1380952380952381,28.917357767384523,28.917357767384523,285.1391687502009,285.1391687502009,0.04190991035181477
2991,47,DEHb,2021-12-06 06:00:00,10800,6,False,10,181,181,"[68, 59, 54]","[68, 57, 54, 1, 1]","[68, 59, 54]","[104, 54, 23]",0.2748252417311622,0.2748252417311622,0.2748252417311622,0.2733216779075427,0.7092081031307551,0.0005033080963099379,2,0.19518716577540107,1,0.12549019607843137,29.485717343194455,29.485717343194455,296.5939090542288,296.5939090542288,0.04572468871528337
2929,47,DEHa,2021-12-07 21:00:00,10800,21,False,10,180,180,"[89, 63, 20, 8]","[88, 63, 20, 8, 1]","[89, 63, 28]","[102, 63, 15]",0.2712846101226879,0.2712846101226879,0.27079771871854785,0.2711865645588372,0.6805090006207325,0.0004714118215049314,2,0.1947391688770999,2,0.13095238095238093,29.636087027827877,29.636087027827877,305.5863216834157,305.5863216834157,0.03549191629029615
2973,47,DEHb,2021-12-05 21:00:00,10800,21,False,10,181,181,"[55, 46, 42, 38]","[55, 46, 41, 38, 1]","[93, 46, 42]","[70, 42, 38, 31]",0.2781810405448897,0.2781810405448897,0.25411686732875943,0.27717865174391004,0.6645794966236955,0.00045298751790464497,2,0.20014054572878104,1,0.12681159420289856,30.985511944938263,30.985511944938263,254.4947453480838,254.4947453480838,0.04759507830656771
3287,51,DEHa,2021-12-13 00:00:00,10800,0,False,10,162,162,"[49, 45, 45, 23]","[49, 45, 44, 23, 1]","[72, 45, 45]","[92, 44, 26]",0.21892200835836503,0.21892200835836503,0.2119089885273412,0.21864372272379423,0.7240242312706081,0.00045852539142930986,2,0.24175813866216345,1,0.13466064586754242,26.07488658479646,26.07488658479646,219.68736116581118,219.68736116581118,0.06753089309232163
3331,51,DEHb,2021-12-15 00:00:00,10800,0,False,10,161,161,"[51, 48, 32, 30]","[50, 48, 32, 30, 1]","[78, 51, 32]","[78, 52, 31]",0.28569421250038723,0.28569421250038723,0.28488568976502426,0.28514072001316354,0.6775621118012423,0.0004092837014032666,2,0.25103785103785103,2,0.1686936936936937,25.492776238942927,25.492776238942927,207.84641894507618,207.84641894507618,0.046458829900497316
3293,51,DEHa,2021-12-13 03:00:00,10800,3,False,10,162,162,"[59, 57, 46]","[59, 56, 45, 1, 1]","[59, 57, 46]","[107, 55]",0.21214286730386117,0.21214286730386117,0.21214286730386117,0.21168433433249878,0.7750939345142244,0.0005016159860496951,2,0.20484515484515486,1,0.12937974677105113,23.061493773094725,23.061493773094725,225.4148557358288,225.4148557358288,0.06387927652518952
3337,51,DEHb,2021-12-15 03:00:00,10800,3,False,10,161,161,"[57, 48, 39, 17]","[57, 48, 39, 16, 1]","[74, 48, 39]","[93, 47, 21]",0.26902144975434006,0.26902144975434006,0.2651709037621103,0.268318441680365,0.7325310559006211,0.000457815734989648,2,0.22013888888888888,2,0.1380952380952381,22.675435586473363,22.675435586473363,202.63290562196678,202.63290562196678,0.05372431171941906
3299,51,DEHa,2021-12-13 06:00:00,10800,6,False,10,162,162,"[56, 55, 42, 9]","[56, 55, 42, 8, 1]","[64, 56, 42]","[115, 47]",0.2330492348098398,0.2330492348098398,0.2320495537018391,0.2327348808602314,0.7402806533241316,0.0004704677839406771,2,0.21634714317049622,2,0.13095238095238093,25.403951822021373,25.403951822021373,236.94151496089628,236.94151496089628,0.051380496138277866
3343,51,DEHb,2021-12-15 06:00:00,10800,6,False,10,161,161,"[74, 48, 39]","[73, 47, 39, 1, 1]","[74, 48, 39]","[111, 50]",0.2694257104822133,0.2694257104822133,0.2694257104822133,0.268757638601567,0.6690217391304348,0.0004370758569128134,2,0.2786037491919845,2,0.15263157894736842,26.47425746642568,26.47425746642568,241.19219309399378,241.19219309399378,0.047935576641934645
3639,55,DEHa,2021-12-22 00:00:00,10800,0,False,10,157,157,"[58, 49, 41, 9]","[57, 49, 41, 9, 1]","[58, 50, 49]","[108, 49]",0.2077110894901193,0.2077110894901193,0.20624410909452057,0.20759687768498075,0.7598399477380369,0.0004975169518693935,2,0.19607843137254902,1,0.11904761904761904,24.821022695975785,24.821022695975785,284.10147371856704,284.10147371856704,0.054723026888672095
3683,55,DEHb,2021-12-20 00:00:00,10800,0,False,10,163,163,"[42, 41, 33, 25, 22]","[42, 41, 33, 25, 22]","[75, 47, 41]","[110, 40, 13]",0.1606726144931325,0.1606726144931325,0.15106472297922863,0.1606726144931325,0.8054987502840264,0.0005312344837452767,2,0.19548872180451127,1,0.12916666666666665,24.192065853997786,24.192065853997786,304.23780159392135,304.23780159392135,0.046583156298210866
3645,55,DEHa,2021-12-22 03:00:00,10800,3,False,10,157,157,"[58, 51, 48]","[58, 51, 46, 1, 1]","[58, 51, 48]","[101, 56]",0.13825233075182802,0.13825233075182802,0.13825233075182802,0.13778689125917337,0.9157275845173934,0.0006083316699027952,2,0.1852008804384846,1,0.12681159420289856,12.261386381969686,12.261386381969686,263.47012936442144,263.47012936442144,0.07689434560223415
3689,55,DEHb,2021-12-20 03:00:00,10800,3,False,10,163,163,"[45, 45, 42, 20, 11]","[45, 45, 42, 20, 11]","[62, 56, 45]","[120, 43]",0.1329100240358187,0.1329100240358187,0.1290593215382744,0.1329100240358187,0.8629856850715747,0.0006096608234379952,2,0.19128100423472474,1,0.11805555555555555,19.3371313546519,19.3371313546519,352.62843408590294,352.62843408590294,0.06766491251767197
3651,55,DEHa,2021-12-22 06:00:00,10800,6,False,10,157,157,"[60, 52, 45]","[60, 51, 44, 1, 1]","[60, 52, 45]","[93, 44, 20]",0.17731451867337772,0.17731451867337772,0.17731451867337772,0.17657770412228127,0.8325167401600523,0.0005355641449059708,2,0.20192307692307693,1,0.12293447293447292,19.681128765545516,19.681128765545516,290.23215039650216,290.23215039650216,0.05743981497969771
3695,55,DEHb,2021-12-20 06:00:00,10800,6,False,10,163,163,"[49, 33, 32, 27, 22]","[49, 33, 32, 27, 22]","[81, 60, 22]","[79, 31, 26, 18, 9]",0.1606925429437828,0.1606925429437828,0.14441741958421447,0.1606925429437828,0.8399606150117398,0.0005598895873833388,2,0.1746031746031746,1,0.1111111111111111,21.12758737404624,21.12758737404624,320.6734825399596,320.6734825399596,0.053027576851284904
